generic_name,brand_names,active_ingredients,nafdac_approved,nafdac_registration_number,nafdac_schedule,nafdac_schedule_date,us_dea_schedule,uk_controlled_drug_class,who_essential_medicine,requires_special_prescription,requires_physician_only,pharmacist_can_prescribe,maximum_days_supply,requires_photo_id,therapeutic_class,pharmacological_class,mechanism_of_action,is_controlled,is_high_risk,requires_monitoring,monitoring_type,monitoring_frequency_days,addiction_risk,abuse_potential,minimum_age,maximum_age,pregnancy_category,breastfeeding_safe,major_contraindications,allergy_cross_reactions,black_box_warning,black_box_warning_text,major_drug_interactions,food_interactions,search_keywords,generic_variations,common_misspellings,safer_alternatives,cheaper_alternatives,notes,is_active
Moxifloxacin,"Avelox,Vigamox","Moxifloxacin 400mg",true,A4-3033,unscheduled,,not_scheduled,not_controlled,false,false,true,true,10,false,Antibiotic,Fluoroquinolone,Inhibits DNA gyrase and topoisomerase IV,false,true,true,QT interval monitoring,7,false,none,18,60,C,false,"QT prolongation,Myasthenia gravis,Tendon disorders,Seizure disorders","Other fluoroquinolones",true,"Similar black box warnings as other fluoroquinolones. Higher risk of QT prolongation than ciprofloxacin. Hepatotoxicity risk.","Warfarin (increased INR),QT-prolonging drugs (arrhythmias),Antacids (reduced absorption),NSAIDs (seizure risk)","Avoid antacids 4 hours before/after",moxifloxacin|avelox|fluoroquinolone|respiratory infection|tuberculosis,Moxifloxacin Hydrochloride,Moxifloxacin|Avelox,Levofloxacin,Levofloxacin,Reserved for serious infections. Expensive. Used in MDR-TB regimens in Nigeria.,true
Ofloxacin,"Tarivid,Floxin","Ofloxacin 400mg",true,A4-3034,unscheduled,,not_scheduled,not_controlled,true,false,true,true,14,false,Antibiotic,Fluoroquinolone,Inhibits DNA gyrase and topoisomerase IV,false,true,true,Tendon pain,14,false,none,18,60,C,false,"Tendon disorders,Myasthenia gravis,QT prolongation,Seizure disorders","Other fluoroquinolones",false,,"Warfarin (increased INR),Antacids (reduced absorption),NSAIDs (seizure risk)","Avoid antacids 2 hours before/after",ofloxacin|tarivid|fluoroquinolone|eye drops|urinary tract infection,Ofloxacin base,Ofloxacin|Tarivid,Ciprofloxacin,Ciprofloxacin,Also available as eye/ear drops. Less commonly used systemically in Nigeria.,true
Doxycycline,"Vibramycin,Doxycycline","Doxycycline Hyclate 100mg",true,A4-3041,unscheduled,,not_scheduled,not_controlled,true,false,true,true,14,false,Antibiotic,Tetracycline,Inhibits bacterial protein synthesis (30S ribosomal subunit),false,false,false,,,false,none,8,,D,false,"Pregnancy (tooth discoloration in fetus),Children under 8 years (permanent tooth staining),Esophageal disorders","Tetracyclines",false,,"Warfarin (increased INR),Oral contraceptives (reduced effectiveness),Antacids/dairy (reduced absorption),Retinoids (increased intracranial pressure)","Avoid dairy products, take with full glass of water, stay upright 30 min after",doxycycline|vibramycin|malaria prophylaxis|acne|STI,Doxycycline Hyclate|Doxycycline Monohydrate,Doxycycline|Vibramycin,Azithromycin (for STIs),Tetracycline (less bioavailable),Widely used in Nigeria for malaria prophylaxis and acne. Once or twice daily dosing.,true
Tetracycline,"Tetracycline,Sumycin","Tetracycline HCl 250mg",true,A4-3042,unscheduled,,not_scheduled,not_controlled,true,false,true,true,14,false,Antibiotic,Tetracycline,Inhibits bacterial protein synthesis (30S ribosomal subunit),false,false,false,,,false,none,8,,D,false,"Pregnancy,Children under 8 years,Renal impairment","Tetracyclines",false,,"Warfarin (increased INR),Oral contraceptives (reduced effectiveness),Antacids/dairy (reduced absorption),Iron supplements (reduced absorption)","Take on empty stomach, avoid dairy 2 hours before/after",tetracycline|sumycin|acne|h pylori,Tetracycline Hydrochloride,Tetracycline|Sumycin,Doxycycline (better bioavailability),Doxycycline,Cheaper than doxycycline but less bioavailable. Four times daily dosing.,true
Tigecycline,"Tygacil","Tigecycline 50mg",true,A4-3043,unscheduled,,not_scheduled,not_controlled,false,false,true,false,14,false,Antibiotic,Glycylcycline,Inhibits bacterial protein synthesis (30S ribosomal subunit),false,true,true,Liver function,7,false,none,18,,D,false,"Pregnancy,Tetracycline hypersensitivity","Tetracyclines",true,"Increased mortality risk compared to other antibiotics in clinical trials. Reserved for serious infections when alternatives unavailable.","Warfarin (monitoring required)","Not applicable (IV only)",tigecycline|tygacil|multidrug resistant|hospital infection,Tigecycline base,Tigecycline|Tygacil,Linezolid,Linezolid,Reserved for MDR infections. IV only. Black box warning. Expensive.,true
Gentamicin,"Garamycin,Cidomycin","Gentamicin 80mg/2ml",true,A4-3051,unscheduled,,not_scheduled,not_controlled,true,false,true,false,14,false,Antibiotic,Aminoglycoside,Inhibits bacterial protein synthesis (30S ribosomal subunit),false,true,true,Renal function and hearing,7,false,none,,,D,false,"Myasthenia gravis,Pregnancy (ototoxicity/nephrotoxicity in fetus)","Aminoglycosides",false,,"Loop diuretics (increased ototoxicity),Vancomycin (increased nephrotoxicity),Amphotericin B (increased nephrotoxicity),Neuromuscular blockers (enhanced paralysis)","Not applicable (IV/IM only)",gentamicin|garamycin|aminoglycoside|sepsis|gram negative,Gentamicin Sulfate,Gentamicin|Garamycin,Tobramycin (less nephrotoxic),Amikacin,Narrow therapeutic window. Requires monitoring. Common in Nigerian hospitals for serious infections.,true
Amikacin,"Amikin","Amikacin 500mg",true,A4-3052,unscheduled,,not_scheduled,not_controlled,true,false,true,false,14,false,Antibiotic,Aminoglycoside,Inhibits bacterial protein synthesis (30S ribosomal subunit),false,true,true,"Renal function, Hearing",7,false,none,,,D,false,"Aminoglycoside allergy,Myasthenia gravis","Aminoglycosides",false,,"Loop diuretics (ototoxicity),Vancomycin (nephrotoxicity),Amphotericin B (nephrotoxicity),Neuromuscular blockers","Not applicable (IV/IM only)",amikacin|amikin|aminoglycoside|resistant gram negative,Amikacin Sulfate,Amikacin|Amikin,Gentamicin (if susceptible),Gentamicin,Reserved for aminoglycoside-resistant infections. More expensive than gentamicin.,true
Metronidazole,"Flagyl,Metrogyl","Metronidazole 400mg",true,A4-3061,unscheduled,,not_scheduled,not_controlled,true,false,true,true,14,false,Antibiotic,Nitroimidazole,Disrupts DNA in anaerobic organisms and protozoa,false,false,false,,,false,none,,,B,false,"Alcohol use (disulfiram reaction),First trimester pregnancy (avoid if possible),Hypersensitivity to nitroimidazoles","Other nitroimidazoles",false,,"Warfarin (increased INR),Lithium (increased lithium levels),Disulfiram (psychotic reactions),Alcohol (severe disulfiram-like reaction)","Avoid alcohol during treatment and 48 hours after (severe reaction)",metronidazole|flagyl|anaerobic infection|giardiasis|trichomoniasis|bacterial vaginosis,Metronidazole base,Metronidazole|Flagyl,Tinidazole (fewer doses),Tinidazole,Essential for anaerobic and protozoal infections. Avoid alcohol completely. Common in Nigeria.,true
Clindamycin,"Dalacin,Cleocin","Clindamycin 300mg",true,A4-3062,unscheduled,,not_scheduled,not_controlled,true,false,true,true,14,false,Antibiotic,Lincosamide,Inhibits bacterial protein synthesis (50S ribosomal subunit),false,true,true,Diarrhea (C. difficile risk),14,false,none,,,B,false,"History of C. difficile colitis,Hypersensitivity to lincosamides","Lincomycin",true,"Risk of C. difficile-associated diarrhea (CDAD) and pseudomembranous colitis. Discontinue if severe diarrhea develops.","Neuromuscular blockers (enhanced paralysis),Erythromycin (antagonism)","Take with full glass of water, can take with or without food",clindamycin|dalacin|anaerobic infection|dental infection|skin infection,Clindamycin Hydrochloride|Clindamycin Palmitate,Clindamycin|Dalacin,Metronidazole (for anaerobes),Metronidazole,Excellent for anaerobic infections and dental abscesses. Risk of C. diff colitis.,true
Cotrimoxazole,"Septrin,Bactrim,Co-trimoxazole","Sulfamethoxazole 800mg + Trimethoprim 160mg",true,A4-3063,unscheduled,,not_scheduled,not_controlled,true,false,true,true,14,false,Antibiotic,Sulfonamide + Dihydrofolate Reductase Inhibitor,Inhibits folic acid synthesis at two steps,false,false,false,,,false,none,6,,C,false,"Sulfonamide allergy,Severe renal impairment,Megaloblastic anemia due to folate deficiency,Pregnancy (especially first trimester)","Sulfonamides",false,,"Warfarin (increased INR),Methotrexate (increased toxicity),Phenytoin (increased levels),Oral hypoglycemics (hypoglycemia)","Take with full glass of water, maintain adequate hydration",cotrimoxazole|septrin|bactrim|trimethoprim-sulfamethoxazole|urinary tract infection|PCP prophylaxis,Trimethoprim-Sulfamethoxazole|Co-trimoxazole,Septrin|Bactrim|Cotrimoxazole,Nitrofurantoin (for UTIs),Nitrofurantoin (for uncomplicated UTIs),Cheap and widely available in Nigeria. First-line for many UTIs and PCP prophylaxis in HIV.,true
Nitrofurantoin,"Macrobid,Furadantin","Nitrofurantoin 100mg",true,A4-3064,unscheduled,,not_scheduled,not_controlled,false,false,true,true,7,false,Antibiotic,Nitrofuran,Damages bacterial DNA,false,false,true,Pulmonary symptoms (rare),30,false,none,,,B,false,"Renal impairment (CrCl <30 ml/min),Pregnancy at term (risk of hemolytic anemia in newborn),G6PD deficiency","Nitrofurans",false,,"Antacids (reduced absorption),Probenecid (increased nitrofurantoin levels and toxicity)","Take with food or milk to enhance absorption and reduce GI upset",nitrofurantoin|macrobid|urinary tract infection|cystitis,Nitrofurantoin Macrocrystals|Nitrofurantoin Monohydrate,Nitrofurantoin|Macrobid,Trimethoprim (for simple UTIs),Cotrimoxazole,Only effective for urinary tract infections (not systemic). Good for uncomplicated UTIs.,true
Vancomycin,"Vancocin","Vancomycin 500mg",true,A4-3071,unscheduled,,not_scheduled,not_controlled,true,false,true,false,14,false,Antibiotic,Glycopeptide,Inhibits bacterial cell wall synthesis,false,true,true,"Renal function, Hearing, Trough levels",7,false,none,,,C,false,"Hypersensitivity to vancomycin","Glycopeptides (teicoplanin)",false,,"Aminoglycosides (increased nephrotoxicity/ototoxicity),Loop diuretics (increased ototoxicity),Nephrotoxic drugs (increased nephrotoxicity)","Not applicable (IV only, oral for C. diff)",vancomycin|vancocin|MRSA|C difficile|gram positive,Vancomycin Hydrochloride,Vancomycin|Vancocin,Linezolid (oral option for MRSA),Teicoplanin (similar spectrum),Reserved for serious gram-positive infections including MRSA. Requires monitoring. Essential in Nigerian hospitals.,true
Linezolid,"Zyvox,Linospan","Linezolid 600mg",true,A4-3072,unscheduled,,not_scheduled,not_controlled,true,false,true,true,28,false,Antibiotic,Oxazolidinone,Inhibits bacterial protein synthesis (50S ribosomal subunit),false,true,true,"Complete blood count (myelosuppression), Peripheral neuropathy signs",14,false,none,,,C,false,"Concurrent MAOIs,Uncontrolled hypertension,Pheochromocytoma,Thyrotoxicosis","Oxazolidinones",false,,"MAOIs (hypertensive crisis),Serotonergic drugs (serotonin syndrome),Tyramine-rich foods (hypertensive crisis)","Avoid tyramine-rich foods (aged cheese, cured meats, fermented foods)",linezolid|zyvox|MRSA|VRE|resistant gram positive,Linezolid base,Linezolid|Zyvox,Vancomycin (IV),Vancomycin,Oral option for MRSA. Expensive but useful when IV access difficult. Myelosuppression risk with prolonged use.,true
Colistin,"Colomycin","Colistimethate Sodium 1MU",true,A4-3073,unscheduled,,not_scheduled,not_controlled,true,false,true,false,14,false,Antibiotic,Polymyxin,Disrupts bacterial cell membrane,false,true,true,"Renal function, Neuromuscular function",7,false,none,,,C,false,"Myasthenia gravis","Polymyxins",false,,"Aminoglycosides (increased nephrotoxicity),Neuromuscular blockers (enhanced paralysis),Nephrotoxic drugs","Not applicable (IV/inhaled)",colistin|colomycin|multidrug resistant|carbapenem resistant|acinetobacter,Colistimethate Sodium|Colistin Sulfate,Colistin|Colomycin,Tigecycline (for some MDR),Polymyxin B,Last-resort antibiotic for multidrug-resistant gram-negatives. Nephrotoxic. Essential for MDR in Nigeria.,true
Piperacillin-Tazobactam,"Tazocin,Zosyn","Piperacillin 4g + Tazobactam 0.5g",true,A4-3074,unscheduled,,not_scheduled,not_controlled,false,false,true,false,14,false,Antibiotic,Extended-spectrum Penicillin + Beta-lactamase Inhibitor,Inhibits cell wall + protects from beta-lactamase,false,false,false,,,false,none,,,B,true,"Penicillin allergy","Penicillins,Cephalosporins",false,,"Warfarin (increased INR),Probenecid (increased levels),Aminoglycosides (inactivation if mixed together)","Not applicable (IV only)",piperacillin-tazobactam|tazocin|zosyn|broad spectrum|hospital infection,Piperacillin/Tazobactam,Tazocin|Zosyn,Meropenem (if carbapenem-susceptible),Ceftriaxone (if susceptible),Broad-spectrum for serious hospital infections. Covers Pseudomonas. Common in Nigerian hospitals.,true
Meropenem,"Meronem,Merrem","Meropenem 1g",true,A4-3075,unscheduled,,not_scheduled,not_controlled,true,false,true,false,14,false,Antibiotic,Carbapenem,Inhibits bacterial cell wall synthesis (broad spectrum),false,true,true,Seizure risk (especially in renal impairment),7,false,none,,,B,true,"Carbapenem allergy","Carbapenems,Penicillins (some cross-reactivity)",false,,"Valproic acid (significantly reduced valproate levels - seizure risk),Probenecid (increased meropenem levels)","Not applicable (IV only)",meropenem|meronem|carbapenem|ESBL|multidrug resistant,Meropenem Trihydrate,Meropenem|Meronem,Imipenem (slightly narrower spectrum),Imipenem-cilastatin,Broad-spectrum carbapenem for serious infections. Reserved for ESBL and other resistant organisms in Nigeria.,true
Imipenem-Cilastatin,"Primaxin","Imipenem 500mg + Cilastatin 500mg",true,A4-3076,unscheduled,,not_scheduled,not_controlled,true,false,true,false,14,false,Antibiotic,Carbapenem + Renal Dehydropeptidase Inhibitor,Inhibits cell wall + protects from renal metabolism,false,true,true,"Seizure risk, Renal function",7,false,none,,,C,true,"Carbapenem allergy,CNS disorders (increased seizure risk)","Carbapenems,Penicillins",false,,"Valproic acid (reduced levels - seizure risk),Ganciclovir (increased seizure risk),Probenecid (increased imipenem levels)","Not applicable (IV only)",imipenem|primaxin|carbapenem|broad spectrum|sepsis,Imipenem/Cilastatin,Primaxin|Imipenem,Meropenem (lower seizure risk),Meropenem,Cilastatin prevents renal metabolism of imipenem. Higher seizure risk than meropenem.,true
Ertapenem,"Invanz","Ertapenem 1g",true,A4-3077,unscheduled,,not_scheduled,not_controlled,true,false,true,false,14,false,Antibiotic,Carbapenem,Inhibits bacterial cell wall synthesis,false,true,true,Seizure risk,7,false,none,,,B,true,"Carbapenem allergy","Carbapenems,Penicillins",false,,"Valproic acid (reduced levels - seizure risk),Probenecid (increased ertapenem levels)","Not applicable (IV/IM only)",ertapenem|invanz|carbapenem|ESBL|outpatient parenteral,Ertapenem Sodium,Ertapenem|Invanz,Meropenem (if Pseudomonas coverage needed),Meropenem,Long half-life allows once-daily dosing. No Pseudomonas coverage. Good for ESBL E. coli in Nigeria.,true
Chloramphenicol,"Chloromycetin","Chloramphenicol 250mg",true,A4-3078,unscheduled,,not_scheduled,not_controlled,true,false,true,true,14,false,Antibiotic,Amphenicol,Inhibits bacterial protein synthesis (50S ribosomal subunit),false,true,true,"Complete blood count (aplastic anemia risk), Gray baby syndrome in neonates",7,false,none,,,C,false,"Hypersensitivity to chloramphenicol,Bone marrow depression","None specific",true,"Risk of aplastic anemia (rare but fatal), Gray baby syndrome in neonates, bone marrow suppression. Use only when safer alternatives unavailable.","Warfarin (increased INR),Phenytoin (increased levels),Oral hypoglycemics (hypoglycemia),Rifampicin (reduced chloramphenicol levels)","Take on empty stomach (1 hour before or 2 hours after meals)",chloramphenicol|chloromycetin|typhoid fever|meningitis|aplastic anemia,Chloramphenicol Palmitate|Chloramphenicol Succinate,Chloramphenicol|Chloromycetin,Ceftriaxone (for typhoid),Azithromycin (for typhoid),Historical first-line for typhoid in Nigeria. Now reserved due to aplastic anemia risk. Still used for bacterial meningitis in some areas.,true
